ASSESSMENTYEAR,ECOREGION,GUILD,STOCKID,YEAR,METRIC,VALUE
2015,North Sea,Crustacean,nep-7,2005,MSYBtrigger,2767
2015,North Sea,Crustacean,nep-7,2006,MSYBtrigger,2767
2015,North Sea,Crustacean,nep-7,2007,MSYBtrigger,2767
2015,North Sea,Crustacean,nep-7,2008,MSYBtrigger,2767
2015,North Sea,Crustacean,nep-7,2009,MSYBtrigger,2767
2015,North Sea,Crustacean,nep-7,2010,MSYBtrigger,2767
2015,North Sea,Crustacean,nep-7,2011,MSYBtrigger,2767
2015,North Sea,Crustacean,nep-7,2012,MSYBtrigger,2767
2015,North Sea,Crustacean,nep-7,2013,MSYBtrigger,2767
2015,North Sea,Crustacean,nep-7,2014,MSYBtrigger,2767
2015,North Sea,Crustacean,nep-7,2003,SSB,5547
2015,North Sea,Crustacean,nep-7,2004,SSB,5725
2015,North Sea,Crustacean,nep-7,2005,SSB,4325
2015,North Sea,Crustacean,nep-7,2006,SSB,4862
2015,North Sea,Crustacean,nep-7,2007,SSB,7017
2015,North Sea,Crustacean,nep-7,2008,SSB,7360
2015,North Sea,Crustacean,nep-7,2009,SSB,5457
2015,North Sea,Crustacean,nep-7,2010,SSB,5224
2015,North Sea,Crustacean,nep-7,2011,SSB,3382
2015,North Sea,Crustacean,nep-7,2012,SSB,2748
2015,North Sea,Crustacean,nep-7,2013,SSB,2902
2015,North Sea,Crustacean,nep-7,2014,SSB,2990
2015,North Sea,Crustacean,nep-8,2003,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2004,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2005,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2006,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2007,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2008,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2009,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2010,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2011,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2012,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2013,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2014,MSYBtrigger,292
2015,North Sea,Crustacean,nep-8,2003,SSB,767
2015,North Sea,Crustacean,nep-8,2004,SSB,630
2015,North Sea,Crustacean,nep-8,2005,SSB,710
2015,North Sea,Crustacean,nep-8,2006,SSB,827
2015,North Sea,Crustacean,nep-8,2007,SSB,692
2015,North Sea,Crustacean,nep-8,2008,SSB,881
2015,North Sea,Crustacean,nep-8,2009,SSB,732
2015,North Sea,Crustacean,nep-8,2010,SSB,682
2015,North Sea,Crustacean,nep-8,2011,SSB,533
2015,North Sea,Crustacean,nep-8,2012,SSB,522
2015,North Sea,Crustacean,nep-8,2013,SSB,668
2015,North Sea,Crustacean,nep-8,2014,SSB,428
2015,North Sea,Crustacean,nep-8,2003,F,0.124
2015,North Sea,Crustacean,nep-8,2004,F,0.164
2015,North Sea,Crustacean,nep-8,2005,F,0.194
2015,North Sea,Crustacean,nep-8,2006,F,0.267
2015,North Sea,Crustacean,nep-8,2007,F,0.229
2015,North Sea,Crustacean,nep-8,2008,F,0.211
2015,North Sea,Crustacean,nep-8,2009,F,0.26
2015,North Sea,Crustacean,nep-8,2010,F,0.192
2015,North Sea,Crustacean,nep-8,2011,F,0.221
2015,North Sea,Crustacean,nep-8,2012,F,0.246
2015,North Sea,Crustacean,nep-8,2013,F,0.156
2015,North Sea,Crustacean,nep-8,2014,F,0.291
2015,North Sea,Crustacean,nep-8,2003,FMSY,0.163
2015,North Sea,Crustacean,nep-8,2004,FMSY,0.163
2015,North Sea,Crustacean,nep-8,2005,FMSY,0.163
2015,North Sea,Crustacean,nep-8,2006,FMSY,0.163
2015,North Sea,Crustacean,nep-8,2007,FMSY,0.163
2015,North Sea,Crustacean,nep-8,2008,FMSY,0.163
2015,North Sea,Crustacean,nep-8,2009,FMSY,0.163
2015,North Sea,Crustacean,nep-8,2010,FMSY,0.163
2015,North Sea,Crustacean,nep-8,2011,FMSY,0.163
2015,North Sea,Crustacean,nep-8,2012,FMSY,0.163
2015,North Sea,Crustacean,nep-8,2013,FMSY,0.163
2015,North Sea,Crustacean,nep-8,2014,FMSY,0.163
2015,North Sea,Crustacean,nep-9,2003,SSB,730
2015,North Sea,Crustacean,nep-9,2004,SSB,626
2015,North Sea,Crustacean,nep-9,2005,SSB,869
2015,North Sea,Crustacean,nep-9,2006,SSB,445
2015,North Sea,Crustacean,nep-9,2007,SSB,531
2015,North Sea,Crustacean,nep-9,2008,SSB,481
2015,North Sea,Crustacean,nep-9,2009,SSB,415
2015,North Sea,Crustacean,nep-9,2010,SSB,406
2015,North Sea,Crustacean,nep-9,2011,SSB,372
2015,North Sea,Crustacean,nep-9,2012,SSB,299
2015,North Sea,Crustacean,nep-9,2013,SSB,469
2015,North Sea,Crustacean,nep-9,2014,SSB,331
2015,North Sea,Crustacean,nep-9,2003,F,0.071
2015,North Sea,Crustacean,nep-9,2004,F,0.105
2015,North Sea,Crustacean,nep-9,2005,F,0.088
2015,North Sea,Crustacean,nep-9,2006,F,0.201
2015,North Sea,Crustacean,nep-9,2007,F,0.16
2015,North Sea,Crustacean,nep-9,2008,F,0.137
2015,North Sea,Crustacean,nep-9,2009,F,0.116
2015,North Sea,Crustacean,nep-9,2010,F,0.115
2015,North Sea,Crustacean,nep-9,2011,F,0.189
2015,North Sea,Crustacean,nep-9,2012,F,0.137
2015,North Sea,Crustacean,nep-9,2013,F,0.058
2015,North Sea,Crustacean,nep-9,2014,F,0.147
2015,North Sea,Crustacean,nep-9,2003,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2004,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2005,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2006,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2007,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2008,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2009,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2010,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2011,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2012,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2013,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2014,FMSY,0.118
2015,North Sea,Crustacean,nep-9,2003,MSYBtrigger,262
2015,North Sea,Crustacean,nep-9,2004,MSYBtrigger,262
2015,North Sea,Crustacean,nep-9,2005,MSYBtrigger,262
2015,North Sea,Crustacean,nep-9,2006,MSYBtrigger,262
2015,North Sea,Crustacean,nep-9,2007,MSYBtrigger,262
2015,North Sea,Crustacean,nep-9,2008,MSYBtrigger,262
2015,North Sea,Crustacean,nep-9,2009,MSYBtrigger,262
2015,North Sea,Crustacean,nep-9,2010,MSYBtrigger,262
2015,North Sea,Crustacean,nep-9,2011,MSYBtrigger,262
2015,North Sea,Crustacean,nep-9,2012,MSYBtrigger,262
2015,North Sea,Crustacean,nep-9,2013,MSYBtrigger,262
2015,North Sea,Crustacean,nep-9,2014,MSYBtrigger,262
2015,North Sea,Crustacean,nep-3-4,2011,MSYBtrigger,NA
2015,North Sea,Crustacean,nep-3-4,2012,MSYBtrigger,NA
2015,North Sea,Crustacean,nep-3-4,2013,MSYBtrigger,NA
2015,North Sea,Crustacean,nep-3-4,2014,MSYBtrigger,NA
2015,North Sea,Crustacean,nep-3-4,2011,SSB,3577
2015,North Sea,Crustacean,nep-3-4,2012,SSB,2526
2015,North Sea,Crustacean,nep-3-4,2013,SSB,2914
2015,North Sea,Crustacean,nep-3-4,2014,SSB,3762
2015,North Sea,Crustacean,nep-3-4,2011,F,0.0391
2015,North Sea,Crustacean,nep-3-4,2012,F,0.0855
2015,North Sea,Crustacean,nep-3-4,2013,F,0.0628
2015,North Sea,Crustacean,nep-3-4,2014,F,0.0303
2015,North Sea,Crustacean,nep-3-4,2011,FMSY,0.079
2015,North Sea,Crustacean,nep-3-4,2012,FMSY,0.079
2015,North Sea,Crustacean,nep-3-4,2013,FMSY,0.079
2015,North Sea,Crustacean,nep-3-4,2014,FMSY,0.079
